code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E12000005,west midlands,12/1/00,17812,,20631.0,9,5269626,2588000,,,0
E12000006,east,12/1/00,19020,,22424.0,15,5374972,2621000,,,0
E12000007,london,12/1/00,24204,,33000.0,9,7236712,4618000,,,0
E12000008,south east,12/1/00,19992,,23867.0,16,7990598,4300000,,,0
E12000009,south west,12/1/00,17847,,20482.0,15,4917074,2464000,,,0
E13000001,inner london,12/1/00,,,-,,2804949,,,,0
E13000002,outer london,12/1/00,,,-,,4431763,,,,0
E92000001,england,12/1/00,19107,,23319.0,11,49233311,25210000,,,0
K02000001,united kingdom,12/1/00,18848,,22801.0,,58886065,29735000,,,0
K03000001,great britain,12/1/00,18915,,22908.0,,57203121,28973000,,,0
K04000001,england and wales,12/1/00,19000,,23131.0,,52140181,26464000,,,0
N92000002,northern ireland,12/1/00,16599,,19112.0,,1682944,762000,,,0
S92000003,scotland,12/1/00,18029,,20678.0,,5062940,2509000,,,0
W92000004,wales,12/1/00,17157,,19507.0,,2906870,1255000,,,0
E09000001,city of london,12/1/01,39104,,62819.0,0,7359,339000,315,5009,1
E09000002,barking and dagenham,12/1/01,22323,,26050.0,3,165654,54000,3780,68298,1
E09000003,barnet,12/1/01,20916,,26068.0,8,319481,138000,8675,130515,1
E09000004,bexley,12/1/01,20217,,23559.0,20,218757,75000,6429,91606,1
E09000005,brent,12/1/01,21878,,24164.0,7,269620,116000,4323,101427,1
E09000006,bromley,12/1/01,15684,,19749.0,14,296218,114000,15013,128717,1
E09000007,camden,12/1/01,27386,,40033.0,12,202567,294000,2179,93112,1
E09000008,croydon,12/1/01,20889,,23994.0,12,335112,156000,8650,141300,1
E09000009,ealing,12/1/01,23862,,29516.0,13,307276,134000,5554,120331,1
E09000010,enfield,12/1/01,24136,,27605.0,13,277266,111000,8220,112948,1
E09000011,greenwich,12/1/01,20761,,23932.0,7,217460,71000,5044,95406,1
E09000012,hackney,12/1/01,24095,,,1,207246,108000,1905,87208,1
E09000013,hammersmith and fulham,12/1/01,26319,,30968.0,8,169374,123000,1715,77095,1
E09000014,haringey,12/1/01,20349,,21748.0,5,221251,75000,2960,93638,1
E09000015,harrow,12/1/01,22960,,26650.0,13,210044,80000,5046,80734,1
E09000016,havering,12/1/01,17940,,20002.0,9,224717,88000,11446,93792,1
E09000017,hillingdon,12/1/01,26051,,30465.0,20,245616,185000,11570,99060,1
E09000018,hounslow,12/1/01,22853,,28795.0,16,215976,150000,5659,85810,1
E09000019,islington,12/1/01,28323,,44989.0,6,179387,168000,1486,83244,1
E09000020,kensington and chelsea,12/1/01,24979,,32475.0,9,162199,149000,1238,83751,1
E09000021,kingston upon thames,12/1/01,21427,,27219.0,18,149045,82000,3726,62474,1
E09000022,lambeth,12/1/01,24019,,30242.0,8,273372,130000,2725,120390,1
E09000023,lewisham,12/1/01,21990,,24850.0,6,254336,75000,3532,108964,1
E09000024,merton,12/1/01,21014,,25615.0,15,191106,81000,3762,80789,1
E09000025,newham,12/1/01,21054,,27763.0,3,249411,79000,3857,93390,1
E09000026,redbridge,12/1/01,21106,,24321.0,10,241893,82000,5644,93989,1
E09000027,richmond upon thames,12/1/01,23799,,29854.0,19,174311,85000,5876,78411,1
E09000028,southwark,12/1/01,27114,,29423.0,4,256712,190000,2991,107119,1
E09000029,sutton,12/1/01,22972,,25235.0,16,181461,77000,4385,77701,1
E09000030,tower hamlets,12/1/01,31232,,55045.0,3,201090,167000,2158,80225,1
E09000031,waltham forest,12/1/01,21245,,23023.0,8,222015,69000,3881,91992,1
E09000032,wandsworth,12/1/01,22054,,25861.0,8,271742,124000,3522,120744,1
E09000033,westminster,12/1/01,26829,,41566.0,9,203329,612000,2203,101213,1
E12000001,north east,12/1/01,17844,,20103.0,5,2540090,1075000,,,0
E12000002,north west,12/1/01,18567,,21594.0,9,6772985,3259000,,,0
